condition,requested_Unity_seed,action_seed,training_decisions,decisions,raw_score,score_high_water,task_events,delivered_return,zero_progress,q_mean,q_min,q_max,valid_pairs,eligible_pairs,pair_coverage,horizon_pair_coverage,invalid_warmup_decisions,missing_eligible_pairs,success_completion,terminated,truncated,end_reason,worker_wall_seconds,observed_loop_seconds,nonloop_overhead_seconds,trajectory_sha256,config_sha256,checkpoint_sha256,events_path
MAX,3001,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.38991461799742,4.706443829003547,3.6834707889938727,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3001/events.jsonl
MAX,3002,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.98005317299976,4.292225125995174,3.6878280470045866,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3002/events.jsonl
MAX,3003,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.346941032999894,4.6764916319953045,3.670449401004589,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3003/events.jsonl
MAX,3004,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,9.167456114999368,5.28003044900106,3.8874256659983075,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3004/events.jsonl
MAX,3005,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.385330991004594,4.577962964001927,3.807368027002667,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3005/events.jsonl
MAX,3006,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,9.898089891001291,4.970696813004906,4.927393077996385,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3006/events.jsonl
MAX,3007,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.98756146300002,5.1543451769975945,3.8332162860024255,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3007/events.jsonl
MAX,3008,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,8.931241501006298,4.90127057400241,4.0299709270038875,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3008/events.jsonl
MAX,3009,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,9.131718839002133,5.192164986001444,3.939553853000689,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3009/events.jsonl
MAX,3010,,51200,600,0.0,0.0,0.0,22.637163085194878,True,0.5804400791075608,0.15121343157603798,0.8196677211531582,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.945945406994724,3.989027746996726,3.9569176599979983,464be77c0f72eeab2ca4c37a94dea2e165b656d3c0a2571f4063780c74ca3d3d,e2ce615e6bef05fd2f73831af4c160cd5fc9db972849ae87fb67bd410bfb27c3,c3206e4862338ed769fe69125844c1f3a78689a19f3cff084994994cb49df11f,runs/P1-MAX/attempt-01/evaluate-3010/events.jsonl
RANDOM,3001,4001,0,600,0.0,0.0,0.0,0.0,True,0.374769179541743,0.11802622504322986,0.6696353134893356,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,6.994834381002875,3.656626595999114,3.3382077850037604,cfab8482fafe55c0ca8bcc116dae46dcdf4da9fe2e278e28958d665a14596928,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3001/events.jsonl
RANDOM,3002,4002,0,600,0.0,0.0,0.0,0.0,True,0.41051820864781174,0.10811574385055134,0.6632131843999802,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.222731806003139,4.006367602996761,3.2163642030063784,5864914d0479290e98dbc661c3a8cc2fa020a865ad5e08d1584135182ddafd5c,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3002/events.jsonl
RANDOM,3003,4003,0,600,0.0,0.0,0.0,0.0,True,0.38669245336098246,0.11166888262312666,0.6249623812358126,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.206554836993746,4.0297556210061884,3.1767992159875575,36c08a633fe8b1526d165f730dd3b17ad4d15ed14119b949a916b6c7db3641e9,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3003/events.jsonl
RANDOM,3004,4004,0,600,1.0,1.0,1.0,1.0,False,0.413155283143709,0.10894398345977474,0.5961347458454208,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,6.309822499002621,3.02980516700336,3.280017331999261,1b0ee5ed27eac9479edb744015000b11271ce83619cef61bfbd42262c97af82d,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3004/events.jsonl
RANDOM,3005,4005,0,600,0.0,0.0,0.0,0.0,True,0.4569964747224435,0.06786148925355644,0.6661506480768631,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.360124095001083,3.8854136430018116,3.4747104519992718,32dd59030c0a3014916c8013e101f258bf8ca4cb5e9a8a6c8278ea75c2faeef6,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3005/events.jsonl
RANDOM,3006,4006,0,600,1.0,1.0,1.0,1.0,False,0.47690985957607096,0.05975109862158708,0.6612237059557435,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.39093660099752,3.9127584870002465,3.4781781139972736,a06bc600360e2d1d4c2c66f36c190bc085e48a290499c406aa8837b02eed8156,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3006/events.jsonl
RANDOM,3007,4007,0,600,0.0,0.0,0.0,0.0,True,0.43533779612017637,0.07931574704139001,0.6734718330264349,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.306487286994525,4.006204452998645,3.3002828339958796,29bd9d3682c56ad2267a4e51824bae1959ec3244229a51747db1ebafae672944,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3007/events.jsonl
RANDOM,3008,4008,0,600,0.0,0.0,0.0,0.0,True,0.4327052860616304,0.0534390578998095,0.6871971322225959,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.21148842999537,3.709545707999496,3.5019427219958743,9eda949328f5c3c287464b737be90de5aefa1c0ce5c2bd4048d30f243d1cb06f,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3008/events.jsonl
RANDOM,3009,4009,0,600,0.0,0.0,0.0,0.0,True,0.34905832411988613,0.0821177038139119,0.5384899122875263,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.435472650002339,4.045061680000799,3.3904109700015397,5d06530d239cb1e66065672d42d90afde0104daddca64be30f0664b035e28a1d,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3009/events.jsonl
RANDOM,3010,4010,0,600,0.0,0.0,0.0,0.0,True,0.39003155163038605,0.06570325402936408,0.6505087575116852,39,39,1.0,1.0,29,0,,False,True,wrapper_decision_limit,7.135473734000698,3.67133354699763,3.4641401870030677,9cd64fd2b7185eb3fd9fc34422369f01388ab7053201ef3cfb82553bbdaa8f7e,abef592f9ce8ba67d1eae7a57d9c3387827d0dd7b0d561d2fc4620bb8740da16,,runs/P1-RANDOM/attempt-01/evaluate-3010/events.jsonl
