condition,episodes,training_decisions,raw_score_mean,raw_score_median,raw_score_min,raw_score_max,success_completion_count,completion_note,natural_terminal_count,zero_progress_episodes,q_valid_pair_mean,valid_pairs,eligible_pairs,pair_coverage,missing_eligible_pairs,early_endings,wrapper_timeouts,evaluation_worker_seconds,distinct_recorded_trajectories
TASK,10,51200,0.0,0.0,0.0,0.0,,Success/failure labels not established by frozen telemetry; do not equate timeout or score checkpoint with completion.,0,10,0.27712103795382864,390,390,1.0,0,0,10,87.30315394299396,1
MAX,10,51200,0.0,0.0,0.0,0.0,,Success/failure labels not established by frozen telemetry; do not equate timeout or score checkpoint with completion.,0,10,0.5804400791075607,390,390,1.0,0,0,10,87.1642530310055,1
RANDOM,10,0,0.2,0.0,0.0,1.0,,Success/failure labels not established by frozen telemetry; do not equate timeout or score checkpoint with completion.,0,8,0.41261744169248404,390,390,1.0,0,0,10,71.57392631999392,10
