condition,episode,actual_decisions_at_end,decisions,task_return,delivered_return,raw_score,pairs,end_reason
MAX,2,1200,600,0.0,14.89891278705511,0.0,39,wrapper_decision_limit
MAX,3,1800,600,0.0,16.918321663063736,0.0,39,wrapper_decision_limit
MAX,4,2400,600,0.0,14.959287820277943,0.0,39,wrapper_decision_limit
MAX,5,3000,600,0.0,16.830768215744676,0.0,39,wrapper_decision_limit
MAX,6,3600,600,0.0,13.321958435265111,0.0,39,wrapper_decision_limit
MAX,7,4200,600,0.0,14.54314346137383,0.0,39,wrapper_decision_limit
MAX,8,4800,600,0.0,14.9438216950234,0.0,39,wrapper_decision_limit
MAX,9,5400,600,0.0,16.673660012642113,0.0,39,wrapper_decision_limit
MAX,10,6000,600,0.0,16.198438289797313,0.0,39,wrapper_decision_limit
MAX,11,6600,600,0.0,16.095403939388376,0.0,39,wrapper_decision_limit
MAX,12,7200,600,0.0,16.239443207531288,0.0,39,wrapper_decision_limit
MAX,13,7800,600,0.0,17.14001699819861,0.0,39,wrapper_decision_limit
MAX,14,8400,600,0.0,15.230163580892624,0.0,39,wrapper_decision_limit
MAX,15,9000,600,0.0,14.457366968258587,0.0,39,wrapper_decision_limit
MAX,16,9600,600,0.0,16.547775720047206,0.0,39,wrapper_decision_limit
MAX,17,10200,600,0.0,14.38216423210571,0.0,39,wrapper_decision_limit
MAX,18,10800,600,0.0,14.636724871515023,0.0,39,wrapper_decision_limit
MAX,19,11400,600,0.0,16.97321893611722,0.0,39,wrapper_decision_limit
MAX,20,12000,600,0.0,15.873049701960266,0.0,39,wrapper_decision_limit
MAX,21,12600,600,1.0,16.45515550751197,1.0,39,wrapper_decision_limit
MAX,22,13200,600,0.0,15.735750904427535,0.0,39,wrapper_decision_limit
MAX,23,13800,600,0.0,14.354176522581797,0.0,39,wrapper_decision_limit
MAX,24,14400,600,0.0,15.31185454341739,0.0,39,wrapper_decision_limit
MAX,25,15000,600,0.0,15.77450919841156,0.0,39,wrapper_decision_limit
MAX,26,15600,600,0.0,17.08085187589356,0.0,39,wrapper_decision_limit
MAX,27,16200,600,0.0,16.27542963847702,0.0,39,wrapper_decision_limit
MAX,28,16800,600,0.0,17.888917118232552,0.0,39,wrapper_decision_limit
MAX,29,17400,600,0.0,15.706934955778179,0.0,39,wrapper_decision_limit
MAX,30,18000,600,1.0,18.457811667534987,1.0,39,wrapper_decision_limit
MAX,31,18600,600,0.0,16.578972812763357,0.0,39,wrapper_decision_limit
MAX,32,19200,600,1.0,18.222436721722115,1.0,39,wrapper_decision_limit
MAX,33,19800,600,0.0,18.215470956717613,0.0,39,wrapper_decision_limit
MAX,34,20400,600,0.0,20.375811897509717,0.0,39,wrapper_decision_limit
MAX,35,21000,600,0.0,16.892552889519976,0.0,39,wrapper_decision_limit
MAX,36,21600,600,1.0,19.16378822280694,1.0,39,wrapper_decision_limit
MAX,37,22200,600,0.0,17.726217343954737,0.0,39,wrapper_decision_limit
MAX,38,22800,600,0.0,17.181443502804115,0.0,39,wrapper_decision_limit
MAX,39,23400,600,0.0,17.295849978836184,0.0,39,wrapper_decision_limit
MAX,40,24000,600,0.0,19.712501648076135,0.0,39,wrapper_decision_limit
MAX,41,24600,600,0.0,18.422638002066762,0.0,39,wrapper_decision_limit
MAX,42,25200,600,0.0,19.774706989552268,0.0,39,wrapper_decision_limit
MAX,43,25800,600,0.0,19.09283387754307,0.0,39,wrapper_decision_limit
MAX,44,26400,600,0.0,18.789341348644314,0.0,39,wrapper_decision_limit
MAX,45,27000,600,0.0,20.584770478055297,0.0,39,wrapper_decision_limit
MAX,46,27600,600,0.0,23.823604973095065,0.0,39,wrapper_decision_limit
MAX,47,28200,600,0.0,21.056351643293873,0.0,39,wrapper_decision_limit
MAX,48,28800,600,0.0,18.560766377598718,0.0,39,wrapper_decision_limit
MAX,49,29400,600,0.0,20.509336808064887,0.0,39,wrapper_decision_limit
MAX,50,30000,600,0.0,20.595937920221907,0.0,39,wrapper_decision_limit
MAX,51,30600,600,0.0,19.28865302288536,0.0,39,wrapper_decision_limit
MAX,52,31200,600,1.0,18.55191748312112,1.0,39,wrapper_decision_limit
MAX,53,31800,600,0.0,17.652015539290232,0.0,39,wrapper_decision_limit
MAX,54,32400,600,0.0,19.73690411681059,0.0,39,wrapper_decision_limit
