condition,split,traces_including_fragments,distinct_pair_sequences,pairs,q_min,q_p05,q_p25,q_median,q_p75,q_p95,q_max,q_mean,pairs_with_any_clipping,clipping_pair_fraction
TASK,training,86,86,3327,0.037045810466648454,0.12756820389906187,0.31493411034748797,0.3670106086024273,0.42669548876258834,0.5401915945992753,0.7668800133621143,0.3644858885473297,115,0.03456567478208596
TASK,evaluation,10,1,390,0.02890050681285239,0.036373359809035236,0.1994530315535227,0.24884027711837806,0.3657866746130149,0.6355071414542397,0.7013393475352717,0.2771210379538286,60,0.15384615384615385
MAX,training,86,86,3327,0.05423316043520321,0.19932247335907172,0.39868091829769114,0.4826449160874987,0.5646363792568898,0.6741841611151742,0.8880769488904233,0.47361226942666873,122,0.03666967237751728
MAX,evaluation,10,1,390,0.15121343157603795,0.2693656305268556,0.38442987806850837,0.6886274199365748,0.6917576460634728,0.7836066374831913,0.8196677211531582,0.5804400791075609,20,0.05128205128205128
RANDOM,evaluation,10,10,390,0.053439057899809475,0.1274766044600225,0.3549887442220977,0.4223382057894626,0.4908135264665706,0.6146952636521364,0.6871971322225958,0.41261744169248393,14,0.035897435897435895
